Id,Tipo,Fecha Evento,Fecha Fin Evento,# días evento,Título evento,Resumen evento,Categorias (Subcategorias),Acceso (para desastres),Resoluciones,Fuente,Descripcion de la fuente,Referecia,Divipola,Departamento,Divipola,Municipio,Lugar,# Total Víctimas,# Víctimas civiles,Víctimas militares,# Víctimas menores 18 años,Víctimas mujeres,# Víctimas afro,Víctimas indígenas,Víctimas otros,Incidente o Accidente MAP/MUSE
81746,Violencia armada,2016-01-04 01:54:00,2016-01-04 01:54:00,0,Menor de edad  víctima de violencia sexual en Popayán,Violencia sexual. 04 de Enero de 2016,Violencia sexual,,,El nuevo liberal,"Avanzan las investigaciones para dar con el paradero de presuntos abusadores sexuales que la emprendieron contra una adolescente de 15 años en un paraje baldío del barrio Villa Occidente en Popayán.Familiares de la víctima dijeron que la jovencita salió de su vivienda a un puesto de comidas rápidas y fue abordada por tres sujetos que tras intimidarla con armas cortopunzantes, la obligaron a ir con ellos hasta el lote abandonado en el sector donde habrían abusado sexualmente de ella.",http://elnuevoliberal.com/adolescente-habria-sido-violada-por-tres-sujetos-en-villa-occidente/,19,Cauca,19001,Popayán ,"Popayán, Cauca, barrio Villa Occidente",1,1,,1,1,,,,
81751,Violencia armada,2016-01-02 12:18:00,,,"Doble homicidio en zona rural de Briceño, Antioquia","Homicidio. Briceño, Antioquia, vereda Las Auras. 02 de Enero de 2016",Homicidio,,,El Colombiano,"El teniente coronel Javier Guillermo Salazar, subcomandante encargado de la Policía Antioquia, confirmó que en la tarde del pasado sábado se presentó un doble homicidio contra integrantes de una misma familia. El crimen, de acuerdo con las autoridades está relacionado con el negocio de drogas ilícitas y sería responsabilidad del reducto de “Urabeños” que opera en Briceño, Norte de Antioquia.“El incidente se presentó en Las Auras, corregimiento a unos 45 minutos del casco urbano de Briceño. La información que tenemos es que los hermanos (28 y 36 años) fueron citados allí y abordados por sujetos que presuntamente pertenecen al Clan Úsuga (Urabeños). Cuando ambos hicieron presencia en el lugar, los trasladan hacia las afueras y los ultiman con armas de fuego”, indicó el uniformado.De acuerdo el reporte oficial, las investigaciones del caso permitieron establecer que los miembros de la familia afectada, están implicados en cultivos ilícitos y procesamiento de estupefacientes, lo que le permite inferir a las autoridades que estas muertes violentas están directamente relacionadas con el narcotráfico. Incluso Jesús Alberto Moreno Jaramillo, otro de los miembros de la familia, fue asesinado el pasado 10 de octubre en horas de la noche en el casco urbano de Briceño.Este crimen se confirma luego de que por medio de su cuenta de Twitter, Pastor Alape, uno de los miembros de la delegación de las Farc en La Habana, asegurara que dos campesinos habían sido asesinados a manos de paramilitares.Las Auras se encuentra a más de dos horas de la vereda Orejón, donde se realiza el Desminado Humanitario con delegados de Farc y del Gobierno colombiano.",http://www.elcolombiano.com/antioquia/seguridad/policia-confirmo-doble-homicidio-en-briceno-IH3382875,5,Antioquia,5107,Briceño ,"Briceño, Antioquia, vereda Las Auras",2,2,,,,,,,
81752,Violencia armada,2016-01-03 13:57:00,,,Enfrentamiento entre pandilleros deja dos heridos en Cartagena,"Enfrentamiento entre actores no estatales. Cartagena, Bolívar, barrio La Esperanza. 03 de Enero de 2016",Enfrentamiento entre actores no estatales,,,RCN,"Un nuevo enfrentamiento con armas de fuego entre pandillas se registró en la madrugada de este domingo en el barrio La Esperanza de Cartagena.El hecho se presentó luego de que miembros de la pandilla del sector El Hoyo se enfrentaran a balas con miembros de la pandilla conocida como ‘Los de la 18’ o ‘Los que sea’ en la calle Cubero Niño, del mencionado barrio.Al parecer el suceso se produjo cuando ambos bandos se encontraron por casualidad en un baile de pick up que se desarrollaba en el sector.Vecinos de la zona aseguraron haber escuchado al menos 20 detonaciones durante el percance, que dejó como resultado 2 personas heridas producto de los impactos de bala.",http://www.rcnradio.com/locales/balacera-pandilleros-la-esperanza-dejo-2-personas-heridas/,13,Bolivar,13001,Cartagena ,"Cartagena, Bolívar, barrio La Esperanza",2,,,,,,,,
81754,Violencia armada,2016-01-02 13:02:00,2016-01-02 13:02:00,0,Amenazada comisión de la ACIN en Jambaló,Amenazas (individuales/colectivas). 02 de Enero de 2016,Amenazas (individuales/colectivas),,,ACIN -Asociación de Cabildos Indígenas del Norte del Cauca,"una comisión de la consejería de ACIN se desplazaba a reunión con integrantes del cabildo de Jambaló en el casco urbano, en el sector del Lazio de la vereda Barondillo 5 sujetos que  estaban a la orilla de la carretera y que portaban armas de largo alcance apuntaron con sus armas a la camioneta de la comisión durante el recorrido de ese trayecto, el conductor al percatarse de la acción de los sujetos armados acelero el vehículo y logro  huir  de la zona hasta llegar al casco urbano. Los autores y móviles del hecho se encuentran aún sin determinar.",Reporte interno,19,Cauca,19364,Jambaló ,"Jambaló, Cauca, sector de Lazio, vereda Barondillo",,,,,,,,,
81772,Violencia armada,2016-01-04 13:16:00,2016-01-04 13:16:00,0,Conductor es asesinado en el barrio Caldas de Buenaventura,Homicidio. 04 de Enero de 2016,Homicidio,,,Radio Buenaventura,"Un hombre fue asesinado por sicarios en el barrio Caldas. La victima según informes habría hecho un pare en un sector cuando fue abordado por un sicario que le propino siete impactos de bala, hasta acabar con su vida de forma inmediata. El hombre era conductor de colectivo. Este asesinato se convierte en el primero del año 2016.",http://www.radiobuenaventura.com/index.php/judicial/6275-siete-disparos-acabaron-con-la-vida-de-un-conductor-de-colectivo,76,Valle del Cauca,76109,Buenaventura ,"Buenaventura, Valle del Cauca, barrio Caldas, comuna 12",1,1,,,,,,,
81773,Violencia armada,2016-01-04 13:44:00,2016-01-04 13:44:00,0,Amenazas contra la junta de la Unión Sindical de Empresas Municipales de Cali (Use),Amenazas (individuales/colectivas). 04 de Enero de 2016,Amenazas (individuales/colectivas),,,El Tiempo,"Se denuncian amenazas con graffitis y panfletos que fueron dejados en contra de la junta de la Unión Sindical de Empresas Municipales de Cali (Use). Los mensajes fueron puestos en la fachada de la sede de USE , en el barrio Champagnat de Cali. El presidente del Sindicato dijo que no se puede precisar el origen del ataque, pero señala que esto ocurre cuando la USE ha crecido al pasar de 120 a mil afiliados, y acaba de terminar de negociar su convención colectiva. Las autoridades indicaron que esperan una denuncia formal para precisar la situación.",http://www.eltiempo.com/colombia/cali/amenazas-a-sindicato-en-cali/16472360,76,Valle del Cauca,76001,Calí ,"Calí, Valle del Cauca, barrio Champagnat, comuna 19",,,,,,,,,
81781,Violencia armada,2016-01-04 13:36:00,,,"Un hombre de 24 años es asesinado en el barrio Libraida en Zarzal, Valle","Homicidio. Zarzal, Valle del Cauca, barrio Libraida. 04 de Enero de 2016",Homicidio,,,El Tabloide,"Un hombre de 24 años de edad fue asesinado al recibir varios disparos en el cuerpo por sicarios.La víctima se encontraba cargando a su hijo en el interior de una panadería ubicada en el barrio Libraida en Zarzal, Valle, cuando fue atacado.A esta familia ya le habían asesinado familiares como el exalcalde de La Victoria.",http://www.eltabloide.com.co/muere-a-tiros-16/,76,Valle del Cauca,76895,Zarzal ,"Zarzal, Valle del Cauca, barrio Libraida",1,1,,,,,,,
81782,Violencia armada,2016-01-03 13:47:00,,,"Un taxista es asesinado en la vereda El Pie en Roldanillo, Valle","Homicidio. Roldanillo, Valle del Cauca, vereda El Pie . 03 de Enero de 2016",Homicidio,,,El Tabloide,"En la vía que de Roldanillo conduce a El Dovio, fue dejado abandonado un taxi luego de que asesinaran a su conductor de 32 años de edad, informaron las autoridades. El hecho se registró el pasado domingo 3 de enero de 2016 a la altura de la vereda El Pie donde varias personas que transitaban por el lugar  observaron el carro estacionado a un lado de la vía y su conductormuerto. La víctima presentaba una herida profunda a la altura del cuello ocasionada al parecer con un arma blanca.",http://www.eltabloide.com.co/degollado-un-taxista/,76,Valle del Cauca,76622,Roldanillo ,"Roldanillo, Valle del Cauca, vereda El Pie",1,1,,,,,,,
81784,Violencia armada,2016-01-06 10:01:00,2016-01-06 10:01:00,0,"Joven asesinado en El Patía, Cauca","Homicidio. Patía (El Bordo), Cauca, barrio Popular. 06 de Enero de 2016",Homicidio,,,La W,"Un hombre fue abordado por dos sujetos que se movilizaban en una motocicleta, en inmediaciones del colegio La Inmaculada Concepción en el barrio Popular de Patía.Según las autoridades, el joven recibió cinco disparos en diferentes partes de su cuerpo, lo cual ocasionó su muerte de forma inmediata.La víctima  había desertado del Ejército Nacional, donde prestaba su servicio militar. Los móviles y autores del hecho aún son materia de investigación",http://www.wradio.com.co/noticias/regionales/cauca-investigan-homicidio-de-un-joven-que-deserto-del-ejercito/20160106/nota/3031804.aspx,19,Cauca,19532,Patía (El Bordo) ,"Patía (El Bordo), Cauca, barrio Popular",1,1,,,,,,,
81785,Violencia armada,2016-01-05 13:32:00,,,"Asesinan a excandidato al Concejo de Nueva Granada, Magdalena","Homicidio. Nueva Granada, Magdalena, corregimiento Pueblito de los Andes - Vereda El Palmar. 05 de Enero de 2016",Homicidio,,,Hoy Diario del Magdalena,"El excandidato al Concejo de Nueva Granada por el partido Cambio Radical, Jaider Alonso Vides Vásquez, fue asesinado por un sicario en el corregimiento Pueblito de los Andes. Vides, de 34 años, natural de Barranquilla, murió a bala en atentado en área rural de ese municipio, cuando trabajaba de celador en una estación de gasolina.El hombre había participado en las pasadas elecciones de octubre de 2015. El crimen ocurrió a las 7:30 de la noche del lunes, en la vereda El Palmar, en comprensión del corregimiento de Pueblito de Los Andes.El asesinato se produjo en el kilómetro 51 de la vía que del corregimiento de La Gloria conduce a Nueva Granada. “En un ataque sicarial sujetos en moto dispararon en repetidas ocasiones contra la víctima”, contó el coronel John Rodríguez, comandante de la Policía del Magdalena.Testigos explicaron que Vides se encontraba en su trabajo como celador de la estación de servicio Biomax, cuando desconocidos se le acercaron y el parrillero desenfundó un arma de fuego y le disparó. Jaider Vides cayó sobre el piso con dos heridas de bala en la cabeza y una en la rodilla derecha,Las personas que estaban en el lugar auxiliaron al celador y en un vehículo lo trasladaron al Puesto de Salud de Pueblito de los Andes, a donde ingresó sin signos de vida.Una patrulla de la Policía llegó al centro asistencial en donde se realizó la inspección del cadáver,  mientras, que otras unidades realizaron el ‘plan candado’ en inmediaciones de la estación de servicio, para dar con la captura del homicida.Después de la inspección judicial del cadáver, fue trasladado hasta la morgue de Plato, para practicarle la necropsia y ser entregado a sus familiares.“Aún es prematuro dar alguna hipótesis en cuanto a los móviles, pero nuestros investigadores están trabajando para determinar las causas de la muerte”, dijo el coronel Rodríguez.En el Pueblito de Los Andes trascendió que el asesinato de Jaider Alonso Vides Vásquez estaría vinculado a un supuesto intento de robo o de problemas personales.",http://www.hoydiariodelmagdalena.com.co/noticias/judiciales1660.html,47,Magdalena,47460,Nueva Granada ,"Nueva Granada, Magdalena, corregimiento Pueblito de los Andes - Vereda El Palmar",1,1,,,,,,,
81786,Violencia armada,2016-01-05 13:52:00,2016-01-05 13:52:00,0,"Explosivos fueron destruidos controladamente en Cáceres, Antioquia",Munición sin explotar - MUSE. 05 de Enero de 2016,Munición sin explotar - MUSE,,,Ejército,"En las últimas horas, tropas adscritas a la Brigada Móvil 25, perteneciente a la Fuerza de Tarea Nudo de Paramillo, ubicaron y destruyeron de manera controlada un depósito ilegal el cual contenía en su interior abundante material de explosivos, en el sector conocido como vereda La Bejuquilla del Municipio de Cáceres departamento de Antioquia.Los detonadores, que fueron destruidos de manera controlada por el equipo de explosivos y demoliciones de la unidad. pertenecían a la compañía Héroes de Taraza del frente de guerra Darío Ramírez Castro del ELN y serían utilizados para la fabricación de artefactos explosivos de alto poder, con los que pretendían atentar contra la integridad física de la población civil y la fuerza pública. El comando de la Brigada Móvil N 25 resaltó el trabajo de sus hombres y envía un mensaje a la población civil para que informe y denuncie oportunamente si observa objetos extraños cerca de sus viviendas o caminos que puedan colocar en riesgo las vidas.",http://www.ejercito.mil.co/?idcategoria=389350,5,Antioquia,5120,Cáceres ,"Cáceres, Antioquia, vereda La Bejuquilla",,,,,,,,,Incidente
81787,Violencia armada,2016-01-05 13:05:00,2016-01-05 13:05:00,0,Fue hallado el cuerpo de una menor en el sector de Alto Menga de Cali.,Homicidio. 05 de Enero de 2016,Homicidio,,,El Tiempo,"Con tres impactos de bala en su cabeza, fue hallado el cuerpo de una mujer en la mañana del 5 de enero de 2016 en el sector de Alto Menga, al norte de Cali.La víctima de 17 años no portaba documentos, por lo que aún no se ha establecido su identidad.",http://www.eltiempo.com/colombia/cali/violencia-contra-las-mujeres-en-el-valle-del-cauca/16474195,76,Valle del Cauca,76001,Calí ,"Calí, Valle del Cauca, Alto Menga, comuna 2",1,1,,1,1,,,,
81788,Violencia armada,2016-01-01 13:16:00,2016-01-01 13:16:00,0,Joven de la comunidad Lgbti murió tras recibir dos disparos en una requisa de la Policía en Cali,Homicidio. 01 de Enero de 2016,Homicidio,,,El Tiempo,"Joven que pertenecía a la comunidad Lgbti de Calimurió tras recibir dos disparos durante una requisa de la Policía en el barrio El Retiro, en el oriente de Cali. Por tratarse de una mujer transgénero, este caso depertó también la indignación de la comunidad LGBTI. Autoridades investigan las causas de la muerte.",http://www.eltiempo.com/colombia/cali/violencia-contra-las-mujeres-en-el-valle-del-cauca/16474195,76,Valle del Cauca,76001,Calí ,"Calí, Valle del Cauca, barrio El Retiro, comuna 15",1,1,,,1,,,,
81789,Violencia armada,2016-01-06 13:24:00,,,En Tuluá Ejercito destruyó tres explosivos que habría sembrado las Farc,"Munición sin explotar - MUSE. Tuluá, Valle del Cauca, vereda Bancos. 06 de Enero de 2016",Munición sin explotar - MUSE,,,HSB Noticias,"En Tuluá Ejercito destruyó tres explosivos que habría sembrado las Farc en la vereda Bancos, del municipio de Tuluá, Valle del Cauca.El Ejército, recibió información de inteligencia que advertía de la presencia del material de guerra en la zona, por lo que varias tropas fueron enviadas al lugar para constatar la información, la cual resultó ser verídica.",http://hsbnoticias.com/noticias/judicial/en-tulua-ejercito-destruyo-explosivos-que-habria-sembrado-la-178644,76,Valle del Cauca,76834,Tulúa ,"Tuluá, Valle del Cauca, vereda Bancos",,,,,,,,,Incidente
81791,Violencia armada,2016-01-05 13:51:00,2016-01-05 13:51:00,0,Un hombre muerto y dos mujeres heridas  dejó un hecho violento en Palmira,Homicidio - Intento de homicidio. 05 de Enero de 2016,"Intento de homicidio,Homicidio",,,RCN,"Un hombre muerto, dos mujeres heridas (de 43 y 47 años de edad) y el presunto agresor capturado, dejó un hecho violento ocurrido en el barrio La Emilia, municipio de Palmira, el martes 5 de enero.La víctima mortal del atentado se dedicaba a oficios varios.",http://www.rcnradio.com/locales/balacera-palmira-dejo-muerto-dos-mujeres-heridas/,76,Valle del Cauca,76520,Palmira ,"Palmira, Valle del Cauca, barrio La Emilia",3,3,,,2,,,,
81792,Violencia armada,2016-01-07 01:56:00,2016-01-07 01:56:00,0,Hombre asesinado en puerto santander,Homicidio. 07 de Enero de 2016,Homicidio,,,La Opinión,"Jaime Rafael Gandara Hernández, de 55 años, fue asesinado la tarde del martes en el casco urbano de Puerto Santander.La víctima recibió al menos seis disparos en la cabeza y en la espalda que le causaron la muerte de manera instantánea en el lugar de los hechos.Según se conoció, dos hombres arribaron hasta el lugar donde Jaime estaba tomándose unas cervezas, frente a la escuela Monseñor Leonardo Gómez, y le dispararon hasta asesinarlo.Gandara se dedicaba a recolectar chatarra en la zona limítrofe entre Puerto Santander y el puente Internacional Unión, que une a este municipio con el estado Táchira (Venezuela).El comandante (e) de la Policía Metropolitana de Cúcuta, coronel William Donato, aseguró que la víctima tenía órdenes de captura canceladas por los delitos de homicidio, tentativa de homicidio, y dos por fuga de presos.Según se conoció, Jaime Rafael, hace aproximadamente 25 días, robó una motobomba en un local comercial, que poco tiempo después él mismo devolvió.Gandara Hernández era natural de Ayapel (Córdoba). Hasta el cierre de esta edición ningún familiar había reclamado el cadáver.Miembros del Cuerpo Técnico de Investigación (CTI) de la Fiscalía practicaron el levantamiento del cadáver en la morgue de Medicina Legal en Cúcuta.",http://www.laopinion.com.co/judicial/chatarrero-fue-asesinado-en-puerto-santander-104564,54,Norte de Santander,54553,Puerto Santander ,"Puerto Santander, Norte de Santander",1,,,,,,,,
