Id,Tipo,Fecha Evento,Fecha Fin Evento,# días evento,Título evento,Resumen evento,Categorias (Subcategorias),Acceso (para desastres),Resoluciones,Fuente,Descripcion de la fuente,Referecia,Divipola,Departamento,Divipola,Municipio,Lugar,# Total Víctimas,# Víctimas civiles,Víctimas militares,# Víctimas menores 18 años,Víctimas mujeres,# Víctimas afro,Víctimas indígenas,Víctimas otros,Incidente o Accidente MAP/MUSE
88298,Violencia armada,2018-01-02 01:13:00,,,"Asesinan a registrador de la Jagua de Ibirico, Cesar","Homicidio intencional en persona protegida - Tortura. Valledupar, Cesar, Barrio Garupal. 02 de Enero de 2018","Homicidio intencional en persona protegida,Tortura",,,El Heraldo,"Amordazado y con aparente signos de tortura fue hallado muerto al interior de una vivienda en Valledupar, Giovany Andrés Padilla Daza, actual Registrador Municipal de La Jagua de Ibirico (Cesar).El hombre de 33 años estaba desaparecido desde las 4:00 de la tarde del lunes primero de enero en Valledupar, cuando salió a cumplir una cita y apareció muerto al mediodía de este martes en el barrio Garupal Tercera Etapa, según explicaron los familiares de la víctima.Giovany Padilla, quien desde hace tres años era el registrador de La Jagua de Ibirico, fue visto por última vez la noche del pasado lunes en la camioneta de su propiedad en compañía dos hombres.“Los vecinos dicen que lo vieron llegar a la casa con dos hombres y al cabo rato los hombres salieron solos y se fueron en la camioneta. Como él no aparecía, por medio del GPS se rastreó el carro que apareció cerca de la casa donde él estaba muerto”  manifestó un pariente de Padilla.Señalaron de igual forma, que el registrador había llegado a Valledupar para visitar a su madre, con motivos de la celebración de Año Nuevo.",https://www.elheraldo.co/cesar/asesinan-registrador-de-la-jagua-de-ibirico-cesar-442854,20,Cesar,20001,Valledupar ,"Valledupar, Cesar, Barrio Garupal",2,2,,,,,,,
88299,Violencia armada,2018-01-03 01:39:00,2018-01-03 01:39:00,0,Investigan presunto atentado contra exalcaldesa de Campoalegre,Atentado. 03 de Enero de 2018,Atentado,,,Diario del Huila,"La señora Neyla Triviño Rojas, exalcaldesa del municipio de Campoalegre, sufrió un atentado en  horas de la tarde de ayer cuando se desplazaba hacia su residencia. El automóvil  Toyota Fortuner color gris, recibió dos impactos de bala en la parte trasera. Los hechos ocurrieron en la vía del barrio la Independencia exactamente por la calle 11 con carrera 34.",https://www.diariodelhuila.com/investigan-presunto-atentado-contra-exalcaldesa-de-campoalegre,41,Huila,41132,Campoalegre ,"Campoalegre, Huila",1,1,,,1,,,,
88300,Violencia armada,2018-01-03 13:23:00,2018-01-03 13:23:00,0,"Desplazamiento temporal por combates en Riosucio, Chocó",Enfrentamiento entre actores no estatales - Desplazamiento masivo Interveredal. 03 de Enero de 2018,"Enfrentamiento entre actores no estatales,Desplazamiento masivo Interveredal",,,Comisión Intereclesial de Justicia y Paz,"Desde las 8.00 a.m de hoy y hasta las 10:30 a.m se produjeron combates entre la guerrilla del ELN y los neoparamilitares de las llamadas AGC en el caserío Las Menas, límites entre los territorios colectivos de Curvaradó y Jiguamiandó.Por las operaciones armadas más de 12 familias se desplazaron a la Zona Humanitaria de Nueva Esperanza en Jiguamiandó.Hacia las 2:30 p.m. la mayoría de los afromestizos regresaron a La Menas para evitar la perďida de sus siembras.A las 3:30 p.m continúa la movilidad de combatientes de ambos bandos entre los territorios colectivos.Algunos pobladores afirma que murieron combatientes.Bogotá, D.C. enero 3 de 2018",https://www.justiciaypazcolombia.com/desplazamiento-temporal-por-combates/,27,Chocó,27615,Ríosucio ,"Ríosucio, Chocó, Jiguamiandó, caserío Las Menas",48,48,,,,48,,,
88301,Violencia armada,2018-01-03 13:00:00,2018-01-03 13:00:00,0,"Amenazan de muerte a líder y escoltas de Riosucio, Chocó",Amenazas (individuales/colectivas). 03 de Enero de 2018,Amenazas (individuales/colectivas),,,Comisión Intereclesial de Justicia y Paz,"Ayer 3 de enero de 2018 a las 4.00 p.m en el casco urbano del municipio de Riosucio, Chocó, cuatro integrantes de las autodenominadas AGC, amenazaron directamente con matar al líder Yeison Mosquera.Los AGC abordaron el esquema de la UNP y a Yeison Mosquera en el barrio El Paraíso y le expresaron que lo iban a matar por sus denuncias, y “vamos con fusil a darle en ese carro”Entre los autodenominados Autodefensas Gaitanistas de Colombia, AGC, se encontraba el llamado ‘Guajiro’, quien se encontraba en estado de embriaguezYeison es uno de los 25 líderes amenazados de muerte recientemente.Bogotá, D.C. 4 de enero de 2018",https://www.justiciaypazcolombia.com/agc-amenazan-de-muerte-lider-y-escoltas/,27,Chocó,27615,Ríosucio ,"Ríosucio, Chocó",1,1,,,,,,,
88302,Violencia armada,2018-01-02 13:20:00,2018-01-02 13:20:00,0,"Asesinan a un menor en San José del Palmar, Chocó",Homicidio intencional en persona protegida. 02 de Enero de 2018,Homicidio intencional en persona protegida,,NAN,Sin información,"El hecho se produjo en el corregimiento de La Italia en zona rural donde fue hallado el cuerpo de un joven de 17 años cuya identidad no ha sido determinada.El Inspector de Policía de la zona realizó la inspección técnica al cadáver del menor que presentaba varias heridas ocasionadas con arma de fuego.En esta región limítrofe con el norte del Valle, desde finales del año anterior se ha venido presentando una serie de homicidios que tiene preocupadas a las autoridades.",https://noticiasnvc.com/asesinan-a-un-menor-en-el-palmar,27,Chocó,27660,San José del Palmar ,"San José del Palmar, Chocó, corregimiento La Italia",1,1,,1,,,1,,
88303,Violencia armada,2018-01-04 22:13:00,,,"Enfrentamiento entre grupos armados habría dejado cinco personas muertas en rural de Bolívar, Cauca","Enfrentamiento entre actores no estatales - Muerte de civil en acción bélica. Bolívar, Cauca, vereda Trujillo. 04 de Enero de 2018","Enfrentamiento entre actores no estatales,Muerte de civil en acción bélica",,,El Espectador,"Los hechos se presentaron en las veredas Trujillo y Mazamorrero del municipio de Bolívar, sur del departamento. Las autoridades siguen investigando el caso.Este jueves se registraron al menos siete personas muertas, entre ellas un campesino, en dos enfrentamientos entre grupos ilegales en las veredas Trujillo y Mazamorrero en el municipio de Bolívar, sur del departamento del Cauca.En el hecho, ocurrido en Mazamorrero murieron alias Bin Laden y alias Nené, exintegrantes de la guerrilla del Eln que tenían la casa por cárcel. Debido a la muerte de Bin Laden se dio un segundo enfrentamiento en la vereda de Trujillo, también en el municipio de Bolívar. Allí se registraron unas cinco personas fallecidas, entre ellas un campesino, identificado como Silvio Meneses.",https://www.elespectador.com/noticias/nacional/cauca/al-menos-2-muertos-tras-enfrentamientos-entre-grupos-ilegales-en-cauca-articulo-731806,19,Cauca,19100,Bolívar ,"Bolívar, Cauca, vereda Trujillo",5,1,,,,,,,
88304,Violencia armada,2018-01-04 22:27:00,2018-01-04 22:27:00,0,"Dos personas muertas en enfrentamiento entre grupos armados en zona rural de Bolívar, Cauca",Enfrentamiento entre actores no estatales. 04 de Enero de 2018,Enfrentamiento entre actores no estatales,,,El Espectador,"Los hechos se presentaron en las veredas Trujillo y Mazamorrero del municipio de Bolívar, sur del departamento. Las autoridades siguen investigando el caso.Este jueves se registraron al menos siete personas muertas, entre ellas un campesino, en dos enfrentamientos entre grupos ilegales en las veredas Trujillo y Mazamorrero en el municipio de Bolívar, sur del departamento del Cauca.En el hecho, ocurrido en Mazamorrero murieron alias Bin Laden y alias Nené, exintegrantes de la guerrilla del Eln que tenían la casa por cárcel. Debido a la muerte de Bin Laden se dio un segundo enfrentamiento en la vereda de Trujillo, también en el municipio de Bolívar. Allí se registraron unas cinco personas fallecidas, entre ellas un campesino, identificado como Silvio Meneses. (...)Como dos de los muertos eran integrantes del ELN y cerca de la vereda de Trujillo, por el río Sambingo, todavía hay presencia del Eln, se investigará entre cuáles grupos ilegales fue el enfrentamiento.",https://www.elespectador.com/noticias/nacional/cauca/al-menos-2-muertos-tras-enfrentamientos-entre-grupos-ilegales-en-cauca-articulo-731806,19,Cauca,19100,Bolívar ,"Bolívar, Cauca, vereda Mazamorrero",2,,,,,,,,
88305,Violencia armada,2018-01-08 01:23:00,2018-01-08 01:23:00,0,Enfretamiento entre grupos armados en Policarpa - Nariño,Enfrentamiento entre actores no estatales - Toma de rehenes. 08 de Enero de 2018,"Enfrentamiento entre actores no estatales,Toma de rehenes",,,La W,"Un enfrentamiento entre disidentes de las FARC e integrantes del Ejército de Liberación Nacional (ELN) en el suroeste de Colombia deja al menos cuatro muertos y seis retenidos por los grupos ilegales, informaron hoy fuentes oficiales.El hecho se registró este lunes en la aldea Santa Rosa, del municipio de Policarpa, en el departamento de Nariño, en donde integrantes de ambos grupos armados se enfrentaron por el control de la zona.La alcaldesa de Policarpa, Claudia Cabrera, dijo a periodistas que son cuatro los muertos y seis las personas que al parecer fueron retenidas, sin que por el momento se haya precisado por parte de cuál de los actores.Hacia las 17.00 hora local (22.00 GMT) de hoy se llevará a cabo un Consejo de Seguridad en el que participarán las diferentes autoridades de la zona para determinar las acciones que se adelantarán para controlar la situación.Nariño es uno de los departamentos de Colombia en donde hacen presencia las disidencias de las FARC que decidieron no acogerse a la firma del acuerdo de paz con el Gobierno nacional. EFE",http://www.wradio.com.co/noticias/internacional/choque-entre-disidentes-de-las-farc-y-guerrilleros-de-eln-deja-cuatro-muertos/20180108/nota/3683772.aspx,52,Nariño,52540,Policarpa ,"Policarpa, Nariño, corregimiento de Santa Rosa",10,,,,,,,,
88306,Violencia armada,2018-01-03 12:22:00,2018-01-03 12:22:00,0,"Enfrentamiento entre miembros del Clan del Golfo en Tierralta, Córdoba",Enfrentamiento entre actores no estatales. 03 de Enero de 2018,Enfrentamiento entre actores no estatales,,,La Razón,"El comandante de la Policía de Córdoba, coronel Marcelo Russi Cárdenas reveló este martes, que los tresasesinatos ocurridos en la vereda El Manso, zona rural de Tierralta, podrían corresponder a “ajuste de cuentas”entre miembros de la estructura criminal del Clan del Golfo, que hace fuerte presencia en dicha zona.Los cadáveres ingresaron en la tarde del domingo a la morgue local, en avanzado estado de descomposición, conimpactos de arma de fuego y calcinación post mortem; uno de las víctimas fue identi×cado como Lucio AntonioVázquez Licona, conocido con el alias de ‘El Cepillo’ el cual estaba inmerso en investigaciones por trá×coestupefacientes al parecer al servicio del Clan del Golfo.Según se indicó, se avanza en el proceso de identi×cación de los otros dos cuerpos, los cual podría tardar variosdías, debido a su estado, así mismo se indaga sobre los reportes de personas desaparecidas en la localidad.La seccional de Investigación Criminal se encarga de adelantar las labores correspondientes para esclarecer loshechos y dar con los responsables.También se informó que hay rumores sobre la desaparición de al menos cuatro personas más, por lo cual se avanzaen las indagaciones.",http://larazon.co/2018/01/asesinatos-en-zona-rural-de-tierralta-responderian-a-ajuste-de-cuentas-del-clan-del-golfo-policia/,23,Córdoba,23807,Tierralta ,"Tierralta, Córdoba",3,,,,,,,,
88308,Violencia armada,2018-01-05 13:25:00,2018-01-05 13:25:00,0,Homicidios en el municipio de Tumaco - Nariño,Homicidio intencional en persona protegida. 05 de Enero de 2018,Homicidio intencional en persona protegida,,,Oficina Pasto,"Por información suministrada por el ELC Nariño, se identifica el asesinato de 3 personas en diferentes sectores del municipio de Tumaco entre el 1 y el 8 de enero de 2017. Los eventos se relacionan a casos de extorsión realizados por el grupo armado disidente Gente del Orden.",Reporte interno,52,Nariño,52835,Tumaco ,"Tumaco, Nariño",3,3,,,,,,,
